Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
307,3,3,"1,100,000","Sector P, Santa María Huatulco",- 497 m² tot. - 4 rec. - 4 baños - 2 estac.
308,3,3,"70,000,000","Pueblo Santa Maria Colotepec, Santa María Colotepec",- 6000 m² tot. - 6 rec. - 7 baños - 10 estac.
309,3,3,"3,000,000","Santa Cruz Xoxocotlan, Santa Cruz Xoxocotlán",- 113 m² tot. - 3 rec. - 3 baños - 1 estac.
310,3,3,"3,700,000","Vicente Guerrero, Santa María Huatulco",- 412 m² tot. - 5 rec. - 3 baños - 3 estac.
311,3,3,"780,000","Fraccionamiento Ex Hacienda Catano, Magdalena Apasco",- 47 m² tot. - 2 rec. - 1 baño - 1 estac.
312,3,3,"679,000","Barrio El Chico Zapote, San Pedro Pochutla",- 1200 m² tot. - 3 rec. - 2 baños - 1 estac.
313,3,3,"3,850,000","Los Naranjos (Los Naranjos Uno), Santa María Colotepec",- 6000 m² tot. - 6 rec. - 7 baños - 2 estac.
314,3,3,"2,500,000","Santa Maria, Santa María Colotepec",- 1400 m² tot. - 4 rec. - 4 baños - 1 estac.
315,3,3,"680,000","Bahía de Conejo, Santa María Huatulco",- 371 m² tot. - 3 rec. - 3 baños - 2 estac.
316,3,3,"5,500,000","Volcanes, Oaxaca de Juárez",- 238 m² tot. - 6 rec. - 4 baños - 2 estac.
317,3,3,"3,500,000","Loma Bonita, Oaxaca de Juárez",- 187 m² tot. - 3 rec. - 2 baños - 2 estac.
318,3,3,"3,200,000","Paraje de las Salinas, San Andrés Huayápam",- 120 m² tot. - 3 rec. - 2 baños - 2 estac.
319,3,3,"2,600,000","Santiago Etla, San Lorenzo Cacaotepec",- 200 m² tot. - 3 rec. - 2 baños
320,3,3,"315,000","Fraccionamiento La Bocana, Santa María Huatulco",- 212 m² tot. - 1 rec. - 1 baño - 1 estac.
321,3,3,"6,500,000","Pueblo Tlalixtac de Cabrera, Tlalixtac de Cabrera",- 1 m² tot. - 6 rec. - 3 baños - 2 estac.
322,3,3,"4,850,000","Villa Villa de Etla, Villa de Etla",- 862 m² tot. - 3 rec. - 3 baños - 5 estac.
